country1,country2,p_dist
SE_Laconia,Rumelia,0.003422878957880622
Serbia,Rumelia,0.06350944964853487
Sicily,Rumelia,0.029463720871411754
South_Morocco,Rumelia,0.0088989746019525
Tunisia,Rumelia,0.019201932073463122
Tuscany,Rumelia,0.026517993674644618
Yemenite,Rumelia,0.023319880296219647
Algeria,Egypt,0.01660659714081139
Basque,Egypt,0.01259595689319765
Bedouin,Egypt,0.0649108089319767
Cappadocia,Egypt,0.0190124807191641
Chuvash,Egypt,0.012201264715481622
Crete,Egypt,0.03921609026481469
Denmark,Egypt,0.011996619700555787
Dodecanese,Egypt,0.03777222816175354
Druze,Egypt,0.04268088293572564
Rumelia,Egypt,0.02487441291301146
Egypt,Egypt,0.26895464934357166
Finland,Egypt,0.010510333429024745
France,Egypt,0.013099717652098414
Hungary,Egypt,0.01748087257809027
Ireland,Egypt,0.010129995416237731
Italy,Egypt,0.018315039756799593
Libya,Egypt,0.03892473389086476
Macedonia,Egypt,0.023528604130909347
Mozabite,Egypt,0.017357176140862556
North_Morocco,Egypt,0.014646090668603737
Palestinian,Egypt,0.05730944848408419
Peloponnese,Egypt,0.030939555162254165
Russia,Egypt,0.006787469680483207
Sahara,Egypt,0.021386440024138288
Sardinia,Egypt,0.017869689273062653
SE_Laconia,Egypt,0.003995169661492825
Serbia,Egypt,0.020268621962860087
Sicily,Egypt,0.0227986782636231
South_Morocco,Egypt,0.014646090668603737
Tunisia,Egypt,0.02073207072391796
Tuscany,Egypt,0.017199953023965393
Yemenite,Egypt,0.051252257687959116
Algeria,Finland,0.013683003390668792
Basque,Finland,0.022222837260807836
Bedouin,Finland,0.015241605407760966
Cappadocia,Finland,0.0232270259011248
Chuvash,Finland,0.039452248878741304
Crete,Finland,0.018722049019057097
Denmark,Finland,0.04785281900221567
Dodecanese,Finland,0.019522651734255762
Druze,Finland,0.01670565380337026
Rumelia,Finland,0.02424632590446555
Egypt,Finland,0.014132548398282105
Finland,Finland,0.36164548198769325
France,Finland,0.024453273536006674
Hungary,Finland,0.031764691554541105
Ireland,Finland,0.025611401257132925
Italy,Finland,0.023768197469621048
Libya,Finland,0.014237976907404398
Macedonia,Finland,0.024025546493417288
Mozabite,Finland,0.017895976883870145
North_Morocco,Finland,0.011595253034286825
Palestinian,Finland,0.01624477182268095
Peloponnese,Finland,0.02013969335106309
Russia,Finland,0.017462490452235527
Sahara,Finland,0.01235108958152545
Sardinia,Finland,0.020723688509190437
SE_Laconia,Finland,0.007391496368305295
Serbia,Finland,0.02703753185927183
Sicily,Finland,0.019641901266716538
South_Morocco,Finland,0.011595253034286825
Tunisia,Finland,0.016793628927228545
Tuscany,Finland,0.024265628161547502
Yemenite,Finland,0.016346258841224016
Algeria,France,0.01840401473881945
Basque,France,0.1394055410827686
Bedouin,France,0.011051474109541614
Cappadocia,France,0.036490258606632825
Chuvash,France,0.01168728895254933
Crete,France,0.016800148325370086
Denmark,France,0.03259194864403087
Dodecanese,France,0.015919261714593697
Druze,France,0.011421859238110888
Rumelia,France,0.019209053121588007
Egypt,France,0.011512973658353572
Finland,France,0.015983010847178895
France,France,0.23637668195758754
Hungary,France,0.02836124776673382
Ireland,France,0.038275940659293455
Italy,France,0.039559803892008805
Libya,France,0.014522935769608197
Macedonia,France,0.02269929548718634
Mozabite,France,0.033068658416930165
North_Morocco,France,0.00678421741152351
Palestinian,France,0.011760879828437567
